ID,AUTHOR,WORK,LOCATION,TEXT,MV,SELECT,CHECK,MV_PERSONAL
230,Aeschylus (0085),Eumenides (007),890,ἔξεστι γάρ σοι τῆσδε γαμόρῳ χθονὸς εἶναι δικαίως ἐς τὸ πᾶν τιμωμένῃ.,ἔξεστι,TRUE,TRUE,FALSE
254,Aeschylus (0085),Libation Bearers (006),140,αὐτῇ τέ μοι δὸς σωφρονεστέραν πολὺ μητρὸς γενέσθαι χεῖρά τ’ εὐσεβεστέραν.,δίδωμι,TRUE,TRUE,TRUE
290,Aeschylus (0085),Prometheus Bound (003),701,μαθεῖν γὰρ τῆσδε πρῶτ’ ἐχρῄζετε τὸν ἀμφ’ ἑαυτῆς ἆθλον ἐξηγουμένης·,χρῄζω,TRUE,TRUE,TRUE
301,Andocides (0027),On the Mysteries (001),28.1,"ἔδοξεν οὖν τῷ δήμῳ ἐν τῷ τῶν θεσμοθετῶν δικαστηρίω τοὺς μεμυημένους, ἀκούσαντας τὰς μηνύσεις ἅς ἕκαστος ἐμήνυσε, διαδικάσαι.",δοκέω,TRUE,TRUE,FALSE
306,Andocides (0027),On the Mysteries (001),88.5,"ὅπου οὖν ἔδοξεν ὑμῖν δοκιμάσαι μὲν τοὺς νόμους, δοκιμάσαντας δὲ ἀναγράψαι, ἀγράφῳ δὲ νόμῳ τὰς ἀρχὰς μὴ χρῆσθαι μηδὲ περὶ ἑνός, ψήφισμα δὲ μηδὲν μήτε βουλῆς μήτε δήμου νόμου κυριώτερον εἶναι, μηδ’ ἐπ’ ἀνδρὶ νόμον ἐξεῖναι τιθέναι ἐὰν μὴ τὸν αὐτὸν ἐπὶ πᾶσιν Ἀθηναίοις, τοῖς δὲ νόμοις τοῖς κειμένοις χρῆσθαι ἀπ’ Εὐκλείδου ἄρχοντος, ἐνταυθοῖ ἔστιν ὅ τι ὑπολείπεται ἢ μεῖζον ἢ ἔλαττον τῶν γενομένων πρότερον ψηφισμάτων, πρὶν Εὐκλείδην ἄρξαι, ὅπως κύριον ἔσται;",δοκέω,TRUE,TRUE,FALSE
313,Andocides (0027),On the Mysteries (001),3.7,"αὐτίκα ἐγὼ πολλῶν μοι ἀπαγγελλόντων ὅτι λέγοιεν οἱ ἐχθροὶ ὡς ἄρα ἐγὼ οὔτ’ ἂν ὑπομείναιμι οἰχήσομαί τε φεύγων, —τί γὰρ ἂν καὶ βουλόμενος Ἀνδοκίδης ἀγῶνα τοσοῦτον ὑπομείνειεν, ᾧ ἔξεστι μὲν ἀπελθόντι ἐντεῦθεν ἔχειν πάντα τὰ ἐπιτήδεια, ἔστι δὲ πλεύσαντι εἰς Κύπρον, ὅθεν περ ἥκει, γῆ πολλὴ καὶ ἀγαθὴ διδομένη καὶ δωρεὰν ὑπάρχουσα;",ἔξεστι,TRUE,TRUE,FALSE
329,Andocides (0027),On the Mysteries (001),136.2,"ὡς γὰρ πλείστους εἶναι ὑμῖν ἤθελον ἂν τοιούσδε οἷόσπερ ἐγώ, τούτους δὲ μάλιστα μὲν ἀπολωλέναι, εἰ δὲ μή, εἶναι τοὺς μὴ ἐπιτρέψοντας αὐτοῖς, οἷς καὶ προσήκει ἀνδράσιν εἶναι καὶ ἀγαθοῖς καὶ δικαίοις περὶ τὸ πλῆθος τὸ ὑμέτερον, καὶ βουλόμενοι δυνήσονται εὖ ποιεῖν ὑμᾶς.",προσήκω,TRUE,FALSE,FALSE
330,Andocides (0027),On the Mysteries (001),149.3,"ὑμεῖς με παρ’ ὑμῶν αὐτῶν αἰτησάμενοι σῴσατε, καὶ μὴ βούλεσθε Θετταλοὺς καὶ Ἀνδρίους πολίτας ποιεῖσθαι δι’ ἀπορίαν ἀνδρῶν, τοὺς δὲ ὄντας πολίτας ὁμολογουμένως, οἷς προσήκει ἀνδράσιν ἀγαθοῖς εἶναι καὶ βουλόμενοι δυνήσονται, τούτους δὲ ἀπόλλυτε.",προσήκω,TRUE,FALSE,FALSE
334,Andocides (0027),On His Return (002),26.9,"ὥστ’ ἔμοιγε καὶ διὰ τὰ τῶν προγόνων ἔργα εἰκότως ὑπάρχει δημοτικῷ εἶναι, εἴπερ τι ἀλλὰ νῦν γε φρονῶν τυγχάνω.",ὑπάρχω,TRUE,FALSE,FALSE
343,Andocides (0027),On the Mysteries (001),84.3,"ἐξεῖναι δὲ καὶ ἰδιώτῃ τῷ βουλομένῳ, εἰσιόντι εἰς τὴν βουλὴν συμβουλεύειν ὅ τι ἂν ἀγαθὸν ἔχῃ περὶ τῶν νόμων.",ἔξεστι,TRUE,FALSE,FALSE
349,Andocides (0027),On His Return (002),26.3,"τάδε γὰρ οὐ ψευσαμένῳ μοι λαθεῖν οἷόν τ’ ἐστι τούς γε πρεσβυτέρους ὑμῶν, ὅτι ὁ τοῦ ἐμοῦ πατρὸς πάππος Λεωγόρας στασιάσας πρὸς τοὺς τυράννους ὑπὲρ τοῦ δήμου, ἐξὸν αὐτῷ διαλλαχθέντι τῆς ἔχθρας καὶ γενομένῳ κηδεστῇ ἄρξαι μετ’ ἐκείνων τῶν ἀνδρῶν τῆς πόλεως, εἵλετο μᾶλλον ἐκπεσεῖν μετὰ τοῦ δήμου καὶ φεύγων κακοπαθεῖν μᾶλλον ἢ προδότης αὐτῶν καταστῆναι.",ἔξεστι,TRUE,TRUE,FALSE
353,Andocides (0027),Against Alcibiades (004),7.3,"δέομαι δ’ ὑμῶν τῶν λόγων ἴσους καὶ κοινοὺς ἡμῖν ἐπιστάτας γενέσθαι, καὶ πάντας ἄρχοντας περὶ τούτων καταστῆναι, καὶ μήτε τοῖς λοιδορουμένοις μήτε τοῖς ὑπὲρ καιρὸν χαριζομένοις ἐπιτρέπειν, ἀλλὰ τῷ μὲν θέλοντι λέγειν καὶ ἀκούειν εὐμενεῖς εἶναι, τῷ δὲ ἀσελγαίνοντι καὶ θορυβοῦντι χαλεπούς.",δέομαι,TRUE,TRUE,TRUE
355,Andocides (0027),On the Mysteries (001),9.7,"τάδε δὲ ὑμῶν δέομαι, μετ’ εὐνοίας μου τὴν ἀκρόασιν τῆς ἀπολογίας ποιήσασθαι, καὶ μήτ’ ἐμοὶ ἀντιδίκους καταστῆναι μήτε ὑπονοεῖν τὰ λεγόμενα μήτε ῥήματα θηρεύειν, ἀκροασαμένους δὲ διὰ τέλους τῆς ἀπολογίας τότε ἤδη ψηφίζεσθαι τοῦτο ὅ τι ἂν ὑμῖν αὐτοῖς ἄριστον καὶ εὐορκότατον νομίζητε εἶναι.",δέομαι,TRUE,FALSE,TRUE
357,Andocides (0027),On the Mysteries (001),37.5,"καὶ τούτοις, ὦ ἄνδρες, δέομαι ὑμῶν προσέχοντας τὸν νοῦν ἀναμιμνῄσκεσθαι, ἐὰν ἀληθῆ λέγω, καὶ διδάσκειν ἀλλήλους·",δέομαι,TRUE,FALSE,TRUE
362,Andocides (0027),On the Mysteries (001),141.1,"δέομαι οὖν ἁπάντων ὑμῶν περὶ ἐμοῦ τὴν αὐτὴν γνώμην ἔχειν, ἥνπερ καὶ περὶ τῶν ἐμῶν προγόνων, ἵνα κἀμοὶ ἐγγένηται ἐκείνους μιμήσασθαι, ἀναμνησθέντας αὐτῶν ὅτι ὅμοιοι τοῖς πλείστων καὶ μεγίστων ἀγαθῶν αἰτίοις τῇ πόλει γεγένηνται, πολλῶν ἕνεκα σφᾶς αὐτοὺς παρέχοντες τοιούτους, μάλιστα δὲ τῆς εἰς ὑμᾶς εὐνοίας, καὶ ὅπως, εἴ ποτέ τις αὐτοῖς ἢ τῶν ἐξ ἐκείνων τινὶ κίνδυνος γένοιτο ἢ συμφορά, σῴζοιντο συγγνώμης παρ’ ὑμῶν τυγχάνοντες.",δέομαι,TRUE,TRUE,TRUE
404,Antiphon (0028),First Tetralogy (002),1.8.1,"εἴ τε καὶ ἁλοίη, τιμωρησαμένῳ κάλλιον ἔδοξεν αὐτῷ ταῦτα πάσχειν, ἢ ἀνάνδρως μηδὲν ἀντιδράσαντα ὑπὸ τῆς γραφῆς διαφθαρῆναι.",δοκέω,TRUE,FALSE,FALSE
411,Antiphon (0028),Prosecution Of The Stepmother For Poisoning (001),17.2,"ἔδοξεν οὖν αὐτῇ βουλευομένῃ βέλτιον εἶναι μετὰ δεῖπνον δοῦναι, τῆς Κλυταιμνήστρας ταύτης τῆς τούτου μητρὸς ταῖς ὑποθήκαις ἅμα διακονοῦσαν.",δοκέω,TRUE,TRUE,FALSE
418,Antiphon (0028),On the Choreutes (006),9.2,"ἵνα μὲν ἐξῆν αὐτοῖς, εἴ τι ἠδίκουν ἐγὼ τὴν πόλιν ἢ ἐν χορηγίᾳ ἢ ἐν ἄλλοις τισίν, ἀποφήνασι καὶ ἐξελέγξασιν ἄνδρα τε ἐχθρὸν τιμωρήσασθαι καὶ τὴν πόλιν ὠφελῆσαι, ἐνταῦθα μὲν οὐδεὶς πώποτε οἷός τε ἐγένετο αὐτῶν οὔτε μικρὸν οὔτε μέγα ἐξελέγξαι ἀδικοῦντα τόνδε τὸν ἄνδρα τὸ πλῆθος τὸ ὑμέτερον·",ἔξεστι,TRUE,TRUE,FALSE
427,Antiphon (0028),On the Murder of Herodes (005),90.7,"καὶ φεισαμένοις μὲν ὑμῖν ἐμοῦ νῦν ἔξεστι τότε χρῆσθαι ὅ τι ἂν βούλησθε, ἀπολέσασι δὲ οὐδὲ βουλεύσασθαι ἔτι περὶ ἐμοῦ ἐγχωρεῖ.",ἔξεστι,TRUE,TRUE,FALSE
435,Antiphon (0028),On the Choreutes (006),2.3,"ὑπάρχει μὲν γὰρ αὐτοῖς ἀρχαιοτάτοις εἶναι ἐν τῇ γῇ ταύτῃ, ἔπειτα τοὺς αὐτοὺς αἰεὶ περὶ τῶν αὐτῶν, ὅπερ μέγιστον σημεῖον νόμων καλῶς κειμένων·",ὑπάρχω,TRUE,FALSE,FALSE
436,Antiphon (0028),On the Murder of Herodes (005),14.3,"ὑπάρχει μέν γε αὐτοῖς ἀρχαιοτάτοις εἶναι ἐν τῇ γῇ ταύτῃ, ἔπειτα τοὺς αὐτοὺς ἀεὶ περὶ τῶν αὐτῶν, ὅπερ μέγιστόν ἐστι σημεῖον νόμων καλῶς κειμένων·",ὑπάρχω,TRUE,FALSE,FALSE
439,Antiphon (0028),On the Choreutes (006),44.1,"ἐπειδὴ δὲ οὑτοσὶ ὁ βασιλεὺς εἰσῆλθεν, ἐξὸν ἀυτοῖς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις τοῦ Ἑκατομβαιῶνος μηνὸς τριάκονθ’ ἡμέρας συνεχῶς τούτων ᾗτινι ἐβούλοντο ἀπογράφεσθαι, ἀπεγράφοντο οὐδεμιᾷ·",ἔξεστι,TRUE,FALSE,FALSE
440,Antiphon (0028),On the Choreutes (006),44.1,"καὶ αὖθις τοῦ Μεταγειτνιῶνος μηνὸς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις ἐξὸν αὐτοῖς ἀπογράφεσθαι <ᾗ>τινι ἐβούλοντο, οὐδ’ αὖ πω ἐνταῦθα ἀπεγράψαντο, ἀλλὰ παρεῖσαν καὶ τούτου τοῦ μηνὸς εἴκοσιν ἡμέρας·",ἔξεστι,TRUE,TRUE,FALSE
443,Antiphon (0028),On the Murder of Herodes (005),61.2,"ἐξὸν γὰρ αὐτῷ ἐν ἀγῶνι καὶ κινδύνῳ μεγάλῳ καταστήσαντι μετὰ τῶν νόμων τῶν ὑμετέρων ἀπολέσαι ἐκεῖνον, εἴπερ προωφείλετο αὐτῷ κακόν, καὶ τό τε ἴδιον τὸ αὑτοῦ διαπράξασθαι καὶ τῇ πόλει τῇ ὑμετέρᾳ χάριν καταθέσθαι, εἰ ἐπέδειξεν ἀδικοῦντα ἐκεῖνον, οὐκ ἠξίωσεν, ἀλλ’ οὐδ’ ἦλθεν ἐπὶ τοῦτον.",ἔξεστι,TRUE,TRUE,FALSE
446,Antiphon (0028),First Tetralogy (002),2.13.5,"δέομαι δ’ ὑμῶν, ὦ ἄνδρες, τῶν μεγίστων κριταὶ καὶ κύριοι, ἐλεήσαντας τὴν ἀτυχίαν μου ἰατροὺς γενέσθαι αὐτῆς, καὶ μὴ συνεπιβάντας τῇ τούτων ἐπιθέσει περιιδεῖν ἀδίκως καὶ ἀθέως διαφθαρέντα με ὑπ’ αὐτῶν.",δέομαι,TRUE,FALSE,TRUE
451,Antiphon (0028),Second Tetralogy (003),2.1.4,"ὑπὸ δὲ σκληρᾶς ἀνάγκης βιαζόμενος, καὶ αὐτὸς εἰς τὸν ὑμέτερον ἔλεον, ὦ ἄνδρες δικασταί, καταπεφευγὼς δέομαι ὑμῶν, ἐὰν ἀκριβέστερον ἢ ὡς σύνηθες ὑμῖν δόξω εἰπεῖν, μὴ διὰ τὰς προειρημένας τύχας λτδυσχερῶσγτ ἀποδεξαμένους μου τὴν ἀπολογίαν δόξῃ καὶ μὴ ἀληθείᾳ τὴν κρίσιν ποιήσασθαι·",δέομαι,TRUE,TRUE,TRUE
453,Antiphon (0028),Second Tetralogy (003),3.3.4,"ἐγὼ δὲ δράσας μὲν οὐδὲν κακόν, παθὼν δὲ ἄθλια καὶ δεινά, καὶ νῦν ἔτι δεινότερα τούτων, ἔργῳ καὶ οὐ λόγῳ εἰς τὸν ὑμέτερον ἔλεον καταπεφευγὼς δέομαι ὑμῶν, ὦ ἄνδρες ἀνοσίων ἔργων τιμωροί, ὁσίων δὲ διαγνώμονες, μὴ λτπαρ’γτ ἔργα φανερὰ ὑπὸ πονηρᾶς λόγων ἀκριβείας πεισθέντας ψευδῆ τὴν ἀλήθειαν τῶν πραχθέντων ἡγήσασθαι·",δέομαι,TRUE,FALSE,TRUE
473,Antiphon (0028),Third Tetralogy (004),3.7.3,"ἡμεῖς δὲ τόν <τε> θάνατον φανερὸν ἀποδεικνύντες, τήν τε πληγὴν ὁμολογουμένην ἐξ ἧς ἀπέθανε, τόν τε νόμον εἰς τὸν πατάξαντα τὸν φόνον ἀνάγοντα, ἀντὶ τοῦ παθόντος ἐπισκήπτομεν ὑμῖν, τῷ τούτου φόνῳ τὸ μήνιμα τῶν ἀλιτηρίων ἀκεσαμένους πᾶσαν τὴν πόλιν καθαρὰν τοῦ μιάσματος καταστῆσαι.",ἐπισκήπτω,TRUE,TRUE,TRUE
474,Antiphon (0028),Third Tetralogy (004),4.10.1,"οὑτωσὶ δὲ ἐκ παντὸς τρόπου τῶν ἐγκλημάτων ἀπολυομένου τοῦ ἀνδρός, ἡμεῖς ὁσιώτερον ὑμῖν ἐπισκήπτομεν ὑπὲρ αὐτοῦ, μὴ τὸν φονέα ζητοῦντας κολάζειν τὸν καθαρὸν ἀποκτείνειν.",ἐπισκήπτω,TRUE,TRUE,TRUE
495,Antiphon (0028),Third Tetralogy (004),3.t.2,"τοῦτόν τε οὐ θαυμάζω ἀνόσια δράσαντα ὅμοια οἷς εἴργασται λέγειν, ὑμῖν τε συγγιγνώσκω βουλομένοις τὴν ἀκρίβειαν τῶν πραχθέντων μαθεῖν τοιαῦτα ἀνέχεσθαι ἀκούοντας αὐτοῦ, ἃ ἐκβάλλεσθαι ἄξιά ἐστι.",συγγιγνώσκω,TRUE,FALSE,TRUE
2219,Aristophanes (0019),Lysistrata (007),524,μετὰ ταῦθ’ ἡμῖν εὐθὺς ἔδοξεν σῶσαι τὴν Ἑλλάδα κοινῇ ταῖσι γυναιξὶν συλλεχθείσαις.,δοκέω,TRUE,TRUE,FALSE
2228,Aristophanes (0019),Plutus (011),1150,ταὐτομολεῖν ἀστεῖον εἶναί σοι δοκεῖ;,δοκέω,TRUE,TRUE,FALSE
2230,Aristophanes (0019),Thesmophoriazusae (008),428,"νῦν οὖν ἐμοὶ τούτῳ δοκεῖ ὄλεθρόν τιν’ ἡμᾶς κυρκανᾶν ἁμωσγέπως, ἢ φαρμάκοισιν ἢ μιᾷ γέ τῳ τέχνῃ, ὅπως ἀπολεῖται.",δοκέω,TRUE,TRUE,FALSE
2232,Aristophanes (0019),Wasps (004),31,"ἔδοξέ μοι περὶ πρῶτον ὕπνον ἐν τῇ πυκνὶ ἐκκλησιάζειν πρόβατα συγκαθήμενα, βακτηρίας ἔχοντα καὶ τριβώνια·",δοκέω,TRUE,TRUE,FALSE
2260,Aristophanes (0019),Lysistrata (007),521,"πῶς ὀρθῶς ὦ κακόδαιμον, εἰ μηδὲ κακῶς βουλευομένοις ἐξῆν ὑμῖν ὑποθέσθαι;",ἔξεστι,TRUE,TRUE,FALSE
2278,Aristophanes (0019),Thesmophoriazusae (008),352,"ξυνευχόμεσθα τέλεα μὲν πόλει τέλεα δὲ δήμῳ τάδ’ εὔγματα γενέσθαι, τὰ δ’ ἄρισθ’ ὅσαις προσήκει νικᾶν λεγούσαις·",προσήκω,TRUE,TRUE,FALSE
2454,Demosthenes (0014),Against Timocrates (024),112.1,"δικαίως δ’ ἂν ἐμοὶ δοκεῖ παθεῖν ὁτιοῦν, ὅστις οἴεται δεῖν, εἰ μέν τις ἀγορανόμος ἢ ἀστυνόμος ἢ δικαστὴς κατὰ δήμους γενόμενος κλοπῆς ἐν ταῖς εὐθύναις ἑάλωκεν, ἄνθρωπος πένης καὶ ἰδιώτης καὶ πολλῶν ἄπειρος καὶ κληρωτὴν ἀρχὴν ἄρξας, τούτῳ μὲν τὴν δεκαπλασίαν εἶναι, καὶ νόμον οὐδένα τοῖς τοιούτοις ἐπικουροῦντα τίθησιν·",δοκέω,TRUE,TRUE,FALSE
2500,Demosthenes (0014),On The Trierarchic Crown (051),12.1,"ἔτι τοίνυν ἔμοιγε δοκεῖ κἀκεῖν’ ἀλόγως ἔχειν, τὸν μὲν εἰπόντα τι μὴ κατὰ τοὺς νόμους, ἐὰν ἁλῷ τὸ τρίτον, μέρος ἠτιμῶσθαι τοῦ σώματος, τοὺς δὲ μὴ λόγον, ἀλλ’ ἔργον παράνομον πεποιηκότας μηδεμίαν δοῦναι δίκην.",δοκέω,TRUE,TRUE,FALSE
2537,Demosthenes (0014),On the Public Fund (013),1.1,"περὶ μὲν τοῦ παρόντος ἀργυρίου καὶ ὧν ἕνεκα τὴν ἐκκλησίαν ποιεῖσθ’, ὦ ἄνδρες Ἀθηναῖοι, οὐδέτερόν μοι δοκεῖ τῶν χαλεπῶν εἶναι, οὔτ’ ἐπιτιμήσαντα τοῖς νέμουσι καὶ διδοῦσι τὰ κοινὰ εὐδοκιμῆσαι παρὰ τοῖς βλάπτεσθαι διὰ τούτων ἡγουμένοις τὴν πόλιν, οὔτε συνειπόντα καὶ παραινέσανθ’ ὡς δεῖ λαμβάνειν, χαρίσασθαι τοῖς σφόδρ’ ἐν χρείᾳ τοῦ λαβεῖν οὖσιν·",δοκέω,TRUE,TRUE,FALSE
2549,Demosthenes (0014),The Funeral Speech 51-61 (060),5.1,"δοκεῖ δέ μοι καὶ τὸ τοὺς καρπούς, οἷς ζῶσιν ἅνθρωποι, παρ’ ἡμῖν πρώτοις φανῆναι, χωρὶς τοῦ μέγιστον εὐεργέτημ’ εἰς πάντας γενέσθαι, ὁμολογούμενον σημεῖον ὑπάρχειν τοῦ μητέρα τὴν χώραν εἶναι τῶν ἡμετέρων προγόνων.",δοκέω,TRUE,TRUE,FALSE
2597,Demosthenes (0014),Third Philippic (009),63.3,"ὅπερ καὶ παρ’ ὑμῖν, ὅτι τοῖς μὲν ὑπὲρ τοῦ βελτίστου λέγουσιν οὐδὲ βουλομένοις ἔνεστιν ἐνίοτε πρὸς χάριν οὐδὲν εἰπεῖν·",ἔνειμι,TRUE,TRUE,FALSE
2611,Demosthenes (0014),Against Aphobus 1 (027),58.3,"τούτῳ γὰρ ἐξῆν μηδὲν ἔχειν τούτων τῶν πραγμάτων, μισθώσαντι τὸν οἶκον κατὰ τουτουσὶ τοὺς νόμους.",ἔξεστι,TRUE,FALSE,FALSE
2613,Demosthenes (0014),Against Aristocrates (023),28.1,"καὶ λαβοῦσιν ἐκείνοις ἐξέσται στρεβλοῦν, αἰκίσασθαι, χρήματα πράξασθαι.",ἔξεστι,TRUE,TRUE,FALSE
